buy_month	sell_month	pints_purchased	expected_profit
2025-01-01	2025-02-01	202076	-227711.56684704596
2025-01-01	2025-03-01	198073	-323482.939368213
2025-01-01	2025-04-01	194226	-328498.9208862079
2025-01-01	2025-05-01	190526	-391383.4345107653
2025-01-01	2025-06-01	186964	-447685.6510383105
2025-01-01	2025-07-01	183532	-466030.09885446343
2025-01-01	2025-08-01	180225	-430126.5858967906
2025-01-01	2025-09-01	177034	-416529.934190899
2025-01-01	2025-10-01	173954	-385938.94142282277
2025-01-01	2025-11-01	170980	-315630.6795289704
2025-01-01	2025-12-01	168106	-267874.75225494814
2025-02-01	2025-03-01	219954	-248752.3254966495
2025-02-01	2025-04-01	215220	-255918.50229311673
2025-02-01	2025-05-01	210686	-326985.64297792263
2025-02-01	2025-06-01	206338	-390449.40389244974
2025-02-01	2025-07-01	202167	-411816.1020397257
2025-02-01	2025-08-01	198161	-373412.1391886207
2025-02-01	2025-09-01	194310	-359590.7207899564
2025-02-01	2025-10-01	190606	-327157.1265369139
2025-02-01	2025-11-01	187041	-251343.47236746416
2025-02-01	2025-12-01	183607	-200364.06103121128
2025-03-01	2025-04-01	244202	-155720.1788459537
2025-03-01	2025-05-01	238380	-238516.42398110835
2025-03-01	2025-06-01	232830	-312189.7174659426
2025-03-01	2025-07-01	227533	-338017.8369883305
2025-03-01	2025-08-01	222471	-296543.9047533488
2025-03-01	2025-09-01	217629	-282737.27565639035
2025-03-01	2025-10-01	212994	-248132.2318541753
2025-03-01	2025-11-01	208552	-165247.3868428166
2025-03-01	2025-12-01	204291	-110283.14670536159
2025-04-01	2025-05-01	241461	-228674.8518856917
2025-04-01	2025-06-01	235768	-303509.5155446682
2025-04-01	2025-07-01	230338	-329855.9105017727
2025-04-01	2025-08-01	225152	-288066.17101186654
2025-04-01	2025-09-01	220194	-274283.64190756564
2025-04-01	2025-10-01	215450	-239461.32323872775
2025-04-01	2025-11-01	210906	-155823.73055438226
2025-04-01	2025-12-01	206550	-100446.92631481959
2025-05-01	2025-06-01	259785	-232561.768164569
2025-05-01	2025-07-01	253207	-263319.44800155505
2025-05-01	2025-08-01	246954	-219126.13723794377
2025-05-01	2025-09-01	241003	-205703.58674577667
2025-05-01	2025-10-01	235331	-169281.3886142106
2025-05-01	2025-11-01	229920	-79716.95985978452
2025-05-01	2025-12-01	224753	-21170.356642238025
2025-06-01	2025-07-01	279146	-187855.23651353054
2025-06-01	2025-08-01	271565	-141306.73704940482
2025-06-01	2025-09-01	264385	-128638.59829285777
2025-06-01	2025-10-01	257575	-90759.0681522096
2025-06-01	2025-11-01	251107	5086.7498465607705
2025-06-01	2025-12-01	244956	66818.9743928676
2025-07-01	2025-08-01	283073	-104919.16387086351
2025-07-01	2025-09-01	275280	-92730.57686429369
2025-07-01	2025-10-01	267905	-54293.90355190363
2025-07-01	2025-11-01	260915	44344.0802905675
2025-07-01	2025-12-01	254281	107428.18860091911
2025-08-01	2025-09-01	262236	-135720.26345370422
2025-08-01	2025-10-01	255535	-97959.85328581904
2025-08-01	2025-11-01	249168	-2674.800607984539
2025-08-01	2025-12-01	243111	58781.144598759965
2025-09-01	2025-10-01	252398	-109036.26503790982
2025-09-01	2025-11-01	246184	-14619.447783994347
2025-09-01	2025-12-01	240269	46405.06561196148
2025-10-01	2025-11-01	236842	-52011.52729316454
2025-10-01	2025-12-01	231362	7615.944860011966
2025-11-01	2025-12-01	210644	-82617.14810252734
